,zip_code,week_number,week_start,week_end,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
583,60640,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,9,18982,12.9,27228,0,0,0,0,0,0,0,209,0,299.8,69715,60640-2024-14,"{'type': 'Point', 'coordinates': [-87.662232, 41.971888]}",15,31,22616,633,18
584,60612,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,4,11274,11.7,32858.3,0,0,0,0,0,0,0,110,0,320.6,34311,60612-2024-14,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46
585,60621,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,3,7950,10.3,27374.1,0,0,0,0,0,0,0,157,0,540.6,29042,60621-2024-14,"{'type': 'Point', 'coordinates': [-87.638812, 41.776931]}",11,66,21559,435,4
586,60625,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,8,23638,10.1,29829.8,0,0,0,0,0,0,0,264,0,333.2,79243,60625-2024-14,"{'type': 'Point', 'coordinates': [-87.701816, 41.971155]}",20,6,21849,620,24
587,60636,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,5,9602,15.5,29817.1,0,0,0,0,0,0,0,168,0,521.7,32203,60636-2024-14,"{'type': 'Point', 'coordinates': [-87.668597, 41.77599]}",23,65,22257,280,3
588,60657,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,5,20219,7.1,28862.8,0,0,0,0,0,0,0,68,0,97.1,70052,60657-2024-14,"{'type': 'Point', 'coordinates': [-87.658216, 41.939715]}",22,57,4449,680,25
589,60656,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,5,9167,18.1,33239.1,0,0,0,0,0,0,0,86,0,311.8,27579,60656-2024-14,"{'type': 'Point', 'coordinates': [-87.817934, 41.974566]}",31,36,4448,735,29
590,60605,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,6,8035,21.8,29198,0,0,0,0,0,0,0,16,0,58.1,27519,60605-2024-14,"{'type': 'Point', 'coordinates': [-87.623449, 41.867824]}",35,38,14913,368,10
591,60639,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,6,31143,6.6,34405.7,0,0,0,0,0,0,0,320,0,353.5,90517,60639-2024-14,"{'type': 'Point', 'coordinates': [-87.75531, 41.920609]}",2,19,22615,306,44
592,60827,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,0,1320,0,4619.1,,0,0,0,0,0,0,19,0,66.5,28577,60827-2024-14,"{'type': 'Point', 'coordinates': [-87.633087, 41.650765]}",,,4460,,
593,60655,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,1,9029,3.5,31346.3,0,0,0,0,0,0,0,55,0,190.9,28804,60655-2024-14,"{'type': 'Point', 'coordinates': [-87.701434, 41.696456]}",33,73,4447,369,42
594,60661,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,0,3197,0,32208.3,0,0,0,0,0,0,0,2,0,20.1,9926,60661-2024-14,"{'type': 'Point', 'coordinates': [-87.644283, 41.882786]}",45,29,4452,784,36
595,60638,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,4,19738,6.8,33569.7,0,0,0,0,0,0,0,210,0,357.2,58797,60638-2024-14,"{'type': 'Point', 'coordinates': [-87.771902, 41.787032]}",7,53,22268,590,15
596,60604,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,0,504,0,64450.1,0,0,0,0,0,0,0,0,0,0,782,60604-2024-14,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",29,38,14912,92,10
597,60629,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,13,36531,11.6,32660.7,0,0,0,0,0,0,0,365,0,326.3,111850,60629-2024-14,"{'type': 'Point', 'coordinates': [-87.711565, 41.777061]}",58,64,21867,293,6
598,60611,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,4,9925,12.3,30608.2,0,0,0,0,0,0,0,31,0,95.6,32426,60611-2024-14,"{'type': 'Point', 'coordinates': [-87.620291, 41.894734]}",6,37,21182,158,36
599,60610,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,7,12101,17.9,31013.1,0,0,0,0,0,0,0,65,0,166.6,39019,60610-2024-14,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",54,37,14926,290,11
