zip_code,week_number,cases_cumulative,case_rate_cumulative,deaths_cumulative,death_rate_cumulative,population
60649,2,7469,16228.5,202,438.9,46024
60649,20,8177,17766.8,219,475.8,46024
60649,21,8249,17923.3,219,475.8,46024
60649,22,8332,18103.6,219,475.8,46024
60649,23,8403,18257.9,219,475.8,46024
60649,24,8459,18379.5,219,475.8,46024
60649,25,8529,18531.6,219,475.8,46024
60649,26,8599,18683.7,219,475.8,46024
60649,27,8679,18857.6,219,475.8,46024
60649,28,8753,19018.3,219,475.8,46024
60649,29,8832,19190,219,475.8,46024
60649,3,7593,16497.9,208,451.9,46024
60649,30,8953,19452.9,219,475.8,46024
60649,31,9064,19694.1,219,475.8,46024
60649,32,9141,19861.4,219,475.8,46024
60649,17,10937,23763.7,226,491,46024
60649,2,10481,22772.9,226,491,46024
60653,14,2451,7666.1,61,190.8,31972
60653,15,2513,7860,62,193.9,31972
60653,16,2566,8025.8,62,193.9,31972
60653,17,2625,8210.3,63,197,31972
60653,18,2699,8441.8,66,206.4,31972
60653,19,2730,8538.7,67,209.6,31972
60653,20,2758,8626.3,67,209.6,31972
60653,21,2786,8713.9,67,209.6,31972
60653,22,2793,8735.8,67,209.6,31972
60653,23,2795,8742,68,212.7,31972
60653,24,2804,8770.2,68,212.7,31972
60653,25,2804,8770.2,68,212.7,31972
60653,26,2814,8801.5,68,212.7,31972
60653,27,2821,8823.3,68,212.7,31972
60653,28,2840,8882.8,70,218.9,31972
60653,29,2863,8954.7,70,218.9,31972
60653,30,2892,9045.4,70,218.9,31972
60653,31,2936,9183,71,222.1,31972
60653,32,2975,9305,72,225.2,31972
60653,33,3032,9483.3,73,228.3,31972
60653,34,3079,9630.3,73,228.3,31972
60653,35,3121,9761.7,73,228.3,31972
60653,16,6370,19923.7,99,309.6,31972
60653,17,6425,20095.7,99,309.6,31972
60653,18,6498,20324,99,309.6,31972
60653,19,6584,20593,99,309.6,31972
60653,2,5985,18719.5,90,281.5,31972
60653,20,6656,20818.2,99,309.6,31972
60653,21,6741,21084.1,99,309.6,31972
60653,22,6830,21362.4,99,309.6,31972
60653,23,6903,21590.8,99,309.6,31972
60653,24,6967,21790.9,100,312.8,31972
60653,25,7023,21966.1,100,312.8,31972
60653,26,7092,22181.9,100,312.8,31972
60653,27,7162,22400.9,100,312.8,31972
60653,28,7246,22663.6,100,312.8,31972
60653,29,7338,22951.3,100,312.8,31972
60653,3,6097,19069.8,91,284.6,31972
60653,30,7412,23182.8,100,312.8,31972
60653,31,7486,23414.2,100,312.8,31972
60653,32,7543,23592.5,100,312.8,31972
